FID	IID	covar1	covar2
HG02166	HG02166	0	-0.65631545441958
HG02178	HG02178	1	1.85401149815657
HG02179	HG02179	1	0.186788562315239
HG02180	HG02180	0	1.25239803739998
HG02181	HG02181	0	0.598148040940706
HG02182	HG02182	1	-0.500624351943669
HG02184	HG02184	1	2.7675585471854
HG02185	HG02185	0	1.5348727065018
HG02186	HG02186	0	-1.66496607462119
HG02188	HG02188	1	0.492368973236655
HG02190	HG02190	0	-1.36625524216034
HG02250	HG02250	1	3.44105353900397
HG02351	HG02351	1	1.65186822868724
HG02353	HG02353	0	1.3626135962671
HG02355	HG02355	0	0.186562966047849
HG02356	HG02356	1	1.33735438332441
HG02360	HG02360	1	-0.0283413798567967
HG02364	HG02364	0	0.567304332750386
HG02367	HG02367	1	-1.0333482253101
HG02371	HG02371	0	-0.22614880454481
HG02373	HG02373	1	-0.361239576524729
HG02374	HG02374	0	1.94268471536915
HG02375	HG02375	1	1.84760065834479
HG02379	HG02379	0	0.251378391727304
HG02380	HG02380	0	-1.18832869167267
HG02382	HG02382	1	-0.0694569916478957
HG02383	HG02383	0	0.571627353425319
HG02384	HG02384	1	2.52796457462492
HG02385	HG02385	0	1.66722651937486
HG02386	HG02386	1	0.978616547471586
HG02389	HG02389	0	0.372684434481234
HG02390	HG02390	1	0.561639281281926
HG02391	HG02391	1	-0.164405976702877
HG02392	HG02392	0	-0.516089638091212
HG02394	HG02394	1	-0.960655350271494
HG02395	HG02395	0	0.223915601876599
HG02396	HG02396	1	0.434347277820395
HG02397	HG02397	0	0.483016057821311
HG02398	HG02398	1	0.411758793962931
HG02401	HG02401	0	0.50291488215934
HG02402	HG02402	1	-0.765322167849323
HG02406	HG02406	0	0.373586590043806
HG02407	HG02407	1	0.366236358403363
HG02408	HG02408	0	0.0895948565802216
HG02409	HG02409	1	-0.861589309080023
HG02410	HG02410	0	0.931741316453827
HG02512	HG02512	1	0.333133707232929
HG02513	HG02513	0	1.97287019261711
HG02521	HG02521	1	-1.22332985279252
HG02522	HG02522	0	-0.0968176123317902
NA18525	NA18525	1	0.826188354739919
NA18526	NA18526	1	-0.425335228921848
NA18528	NA18528	0	0.26334477026843
NA18530	NA18530	1	-0.627401654250183
NA18531	NA18531	0	0.502011714485676
NA18532	NA18532	1	0.528893450135143
NA18533	NA18533	0	1.42215034475308
NA18534	NA18534	1	1.05442100714486
NA18535	NA18535	0	0.390376710035391
NA18536	NA18536	0	1.68962829402552
NA18537	NA18537	1	0.82561646196812
NA18538	NA18538	1	-0.687807909862764
NA18539	NA18539	0	0.0148075227348461
NA18541	NA18541	1	0.638351980357101
NA18542	NA18542	1	-0.373322247638862
NA18543	NA18543	0	-0.161927916970042
NA18544	NA18544	1	-0.30571587035925
NA18545	NA18545	1	-0.499460270383172
NA18546	NA18546	0	-0.803915169877132
NA18547	NA18547	1	-1.30633083689581
NA18548	NA18548	0	0.874287688092689
NA18549	NA18549	0	0.158602268180558
NA18550	NA18550	1	-1.19869270477966
NA18552	NA18552	1	1.36836000988473
NA18553	NA18553	0	-0.421907313165417
NA18555	NA18555	1	-1.09658312536726
NA18557	NA18557	0	0.696314511435941
NA18558	NA18558	0	0.885586807724657
NA18559	NA18559	1	0.490973394434488
NA18560	NA18560	0	-0.0835065105323731
NA18561	NA18561	1	0.882773751700939
NA18562	NA18562	0	0.25831868358614
NA18563	NA18563	1	0.263005782183059
NA18564	NA18564	0	0.679902780906198
NA18565	NA18565	1	0.679442747615294
NA18566	NA18566	1	-0.64873221890044
NA18567	NA18567	0	-0.490249829330688
NA18570	NA18570	1	0.835632282408775
NA18571	NA18571	0	-0.0206504357677386
NA18572	NA18572	1	0.102124819459912
NA18573	NA18573	0	0.392389490319037
NA18574	NA18574	1	0.769918294028953
NA18577	NA18577	0	1.22648280638602
NA18579	NA18579	1	0.192540990174989
NA18582	NA18582	0	1.02088325186517
NA18591	NA18591	0	-0.787400637526732
NA18592	NA18592	1	-0.307476443201155
NA18593	NA18593	1	0.17527535494803
NA18595	NA18595	1	1.55051476703603
NA18596	NA18596	0	-1.08704610205038
NA18597	NA18597	0	0.99904464885618
NA18599	NA18599	0	-0.61954878737523
NA18602	NA18602	1	0.320038939756043
NA18603	NA18603	0	-0.583586517265991
NA18605	NA18605	0	-0.935634689723675
NA18606	NA18606	1	-0.331341442589233
NA18608	NA18608	0	-0.399447293753698
NA18609	NA18609	1	-0.622186337160594
NA18610	NA18610	0	-0.500771625355319
NA18611	NA18611	1	-0.435373543701936
NA18612	NA18612	0	-0.244139235045572
NA18613	NA18613	1	-1.31582826353803
NA18614	NA18614	1	-1.43506224076434
NA18615	NA18615	0	1.42643061786373
NA18616	NA18616	0	-2.16477374838355
NA18617	NA18617	1	0.555097541339031
NA18618	NA18618	0	-1.20149735713743
NA18619	NA18619	1	-1.09222566521872
NA18620	NA18620	0	0.495580870417209
NA18621	NA18621	0	-1.81062567075725
NA18622	NA18622	1	0.929879484510322
NA18623	NA18623	1	0.255617966790527
NA18624	NA18624	0	-0.481678868698967
NA18625	NA18625	0	0.548822099435748
NA18626	NA18626	1	0.475261181637246
NA18627	NA18627	0	-0.291728176284602
NA18628	NA18628	1	0.212807392483252
NA18629	NA18629	0	0.618607498060265
NA18630	NA18630	1	-1.81731312677993
NA18631	NA18631	0	1.03008384339563
NA18632	NA18632	1	0.561648004071711
NA18633	NA18633	0	0.220094488212979
NA18634	NA18634	1	0.867212414989478
NA18635	NA18635	0	-0.239918179201617
NA18636	NA18636	1	-1.08552741034276
NA18637	NA18637	0	0.327473573401281
NA18638	NA18638	1	0.763761970378233
NA18639	NA18639	0	-0.999026718342301
NA18640	NA18640	1	0.0720523822220055
NA18641	NA18641	0	-0.0669024960311725
NA18642	NA18642	1	0.488712032891679
NA18643	NA18643	0	-1.44843206761471
NA18644	NA18644	1	-0.61782932552253
NA18645	NA18645	0	0.528239801376445
NA18646	NA18646	1	-0.0882960404581494
NA18647	NA18647	0	0.936686718548366
NA18648	NA18648	1	1.6302472914847
NA18740	NA18740	0	-0.352962139236725
NA18745	NA18745	1	0.299873451988071
NA18747	NA18747	0	0.506074369739045
NA18748	NA18748	1	-1.70254069148443
NA18749	NA18749	0	-1.03858575456159
NA18757	NA18757	0	-0.610492831166213
NA18939	NA18939	0	1.21634867849945
NA18940	NA18940	0	-0.508897870504984
NA18941	NA18941	0	0.122425896979396
NA18942	NA18942	0	0.834759640927354
NA18943	NA18943	0	0.48567041324244
NA18944	NA18944	0	-1.21001034533703
NA18945	NA18945	1	-0.959786613161909
NA18946	NA18946	1	0.75489241541396
NA18947	NA18947	1	1.06909914514072
NA18948	NA18948	1	0.372152452344503
NA18949	NA18949	1	-1.10725652062582
NA18950	NA18950	0	-0.601973140975924
NA18951	NA18951	1	-0.82004043540423
NA18952	NA18952	1	-0.738949019157029
NA18953	NA18953	0	-0.0566082093828097
NA18956	NA18956	1	0.143696644061271
NA18957	NA18957	1	-0.0267590242734756
NA18959	NA18959	1	0.192789312701462
NA18960	NA18960	1	-0.626525147845638
NA18961	NA18961	0	0.317233093039699
NA18962	NA18962	1	-0.767690371764186
NA18963	NA18963	1	0.0273649822536688
NA18964	NA18964	1	0.872193111014516
NA18965	NA18965	1	-0.251221008978143
NA18966	NA18966	0	-0.467435161904789
NA18967	NA18967	0	0.657979829361231
NA18968	NA18968	0	-1.4066459432551
NA18969	NA18969	1	-0.297669452252616
NA18970	NA18970	0	-0.303602348729731
NA18971	NA18971	1	0.0393854232362074
NA18972	NA18972	0	-1.20688248241718
NA18973	NA18973	1	0.777821085247495
NA18974	NA18974	1	0.72075175438671
NA18975	NA18975	1	-0.357085425008705
NA18976	NA18976	0	-0.991198972948855
NA18977	NA18977	0	-0.557220265717353
NA18978	NA18978	0	1.15861971835768
NA18979	NA18979	1	-0.277711525686234
NA18980	NA18980	1	-0.38785833710403
NA18981	NA18981	1	-0.055459689704113
NA18982	NA18982	0	-1.41349691151678
NA18983	NA18983	0	-2.65222666991539
NA18984	NA18984	1	-0.330935608891279
NA18985	NA18985	0	-0.695653630991874
NA18986	NA18986	1	0.533992908579544
NA18987	NA18987	0	1.4371755181618
NA18988	NA18988	1	-0.900382413668022
NA18989	NA18989	0	-0.708552900600044
NA18990	NA18990	1	0.28137656157547
NA18991	NA18991	1	-0.193400247032263
NA18992	NA18992	0	2.15024013405362
NA18993	NA18993	0	0.80224674222724
NA18994	NA18994	1	-1.84613356310682
NA18995	NA18995	1	1.77602682076727
NA18997	NA18997	0	0.636244206914283
NA18998	NA18998	0	-0.566166514832429
NA18999	NA18999	1	-0.99810691180698
NA19000	NA19000	1	-0.995966997874999
NA19001	NA19001	0	-0.725489266063525
NA19002	NA19002	1	-1.13509812476221
NA19003	NA19003	0	0.522226817380347
NA19004	NA19004	1	-1.20202726964436
NA19005	NA19005	0	-0.0118566800009938
NA19006	NA19006	0	-1.77019499282079
NA19007	NA19007	1	-1.49740113838802
NA19009	NA19009	0	-1.24698504372054
NA19010	NA19010	0	-2.0001572619752
NA19011	NA19011	0	1.1514834468703
NA19012	NA19012	0	0.0211841813758091
NA19054	NA19054	0	-1.33448646851446
NA19055	NA19055	1	-0.306543241588113
NA19056	NA19056	1	-0.432919275126926
NA19057	NA19057	1	-1.89232666304563
NA19058	NA19058	0	1.5054943392846
NA19059	NA19059	1	1.12711318532555
NA19060	NA19060	0	1.69872950978652
NA19062	NA19062	1	-0.140089278641756
NA19063	NA19063	0	-0.568257514647515
NA19064	NA19064	1	-1.07256271769484
NA19065	NA19065	0	1.46183245058726
NA19066	NA19066	1	1.93462207790827
NA19067	NA19067	0	0.668070983577943
NA19068	NA19068	0	2.14013818683955
NA19070	NA19070	1	-2.30825299282411
NA19072	NA19072	0	0.477942141941692
NA19074	NA19074	1	1.01699253157608
NA19075	NA19075	0	1.31697958527903
NA19076	NA19076	1	-1.87573178203669
NA19077	NA19077	1	-1.64565766549949
NA19078	NA19078	0	0.510812821335318
NA19079	NA19079	0	-1.17126048735077
NA19080	NA19080	1	0.143318769743724
NA19081	NA19081	1	0.187526038609777
NA19082	NA19082	1	-0.161267075651056
NA19083	NA19083	1	-0.705454343637986
NA19084	NA19084	0	-0.0679188086631941
NA19085	NA19085	1	-1.63521584756504
NA19086	NA19086	1	-0.515035327842077
NA19087	NA19087	0	-0.616787222348949
NA19088	NA19088	0	0.193979409657451
NA19089	NA19089	0	0.25424948084494
NA19090	NA19090	0	0.639905701574152
NA19091	NA19091	0	-0.075635997164215
