FID	IID	Y1
HG02360	HG02360	-0.0576555653372934
HG02364	HG02364	0.521240993362727
HG02367	HG02367	-1.08400897477239
HG02371	HG02371	-0.2558056000647
HG02373	HG02373	-0.420441552201655
HG02374	HG02374	1.89215175244672
HG02375	HG02375	1.78375940486019
HG02379	HG02379	0.173741061911773
HG02380	HG02380	-1.27474701357403
HG02382	HG02382	-0.107940388962436
HG02383	HG02383	0.532755417977278
HG02384	HG02384	2.28200990257265
HG02385	HG02385	1.65241109827784
HG02386	HG02386	0.941737918286092
HG02389	HG02389	0.313207608190861
HG02390	HG02390	0.509795266069594
HG02391	HG02391	-0.199234950955813
HG02392	HG02392	0.453519211807352
HG02394	HG02394	-1.02291755905904
HG02395	HG02395	0.168656334704188
HG02396	HG02396	0.377035899235237
HG02397	HG02397	1.43803265985434
HG02398	HG02398	0.366297722944299
HG02401	HG02401	1.48166000298687
HG02402	HG02402	-0.816362472322062
HG02406	HG02406	0.318474627914424
HG02407	HG02407	1.34566433097113
HG02408	HG02408	0.0225502913317344
HG02409	HG02409	-0.910955462885548
HG02410	HG02410	0.910955462885548
HG02512	HG02512	0.281781646967174
HG02513	HG02513	1.95591844079083
HG02521	HG02521	-1.34566433097113
HG02522	HG02522	-0.158499812351248
NA18525	NA18525	0.788704294098734
NA18526	NA18526	-0.475847665973155
NA18528	NA18528	0.204348771891133
NA18530	NA18530	-0.702674102271441
NA18531	NA18531	0.436920622357674
NA18532	NA18532	0.470243708915559
NA18533	NA18533	1.35816039821732
NA18534	NA18534	1.02291755905904
NA18535	NA18535	0.339632986602262
NA18536	NA18536	1.67236294879582
NA18537	NA18537	0.781883813372342
NA18538	NA18538	-0.741697120947868
NA18539	NA18539	-0.0225502913317344
NA18541	NA18541	0.621557485844577
NA18542	NA18542	-0.436920622357674
NA18543	NA18543	-0.209467942410645
NA18544	NA18544	-0.334329496804784
NA18545	NA18545	-0.538539130803282
NA18546	NA18546	-0.866334327573349
NA18547	NA18547	-1.38380950579667
NA18548	NA18548	0.873650077858641
NA18549	NA18549	0.0827718113113739
NA18550	NA18550	-1.28612110493833
NA18552	NA18552	1.30938255534852
NA18553	NA18553	-0.487100790081484
NA18555	NA18555	-1.17904361344893
NA18557	NA18557	0.683560279911442
NA18558	NA18558	0.895883771200347
NA18559	NA18559	0.420441552201655
NA18560	NA18560	-0.143295295024182
NA18561	NA18561	0.903393965469359
NA18562	NA18562	0.183924144277348
NA18563	NA18563	0.209467942410645
NA18564	NA18564	0.652245396776257
NA18565	NA18565	0.658456441842811
NA18566	NA18566	-0.71556034228597
NA18567	NA18567	-0.532755417977278
NA18570	NA18570	0.823374864022281
NA18571	NA18571	0.981519076973578
NA18572	NA18572	0.0275626209358959
NA18573	NA18573	0.344946046566299
NA18574	NA18574	0.735115975734931
NA18577	NA18577	1.16906160782933
NA18579	NA18579	0.133177539464034
NA18582	NA18582	0.973439666401344
NA18591	NA18591	-0.837522650467179
NA18592	NA18592	-0.344946046566299
NA18593	NA18593	0.097865644750487
NA18595	NA18595	1.54461762434662
NA18596	NA18596	-1.15919474843706
NA18597	NA18597	0.957468507325731
NA18599	NA18599	-0.689903503363024
NA18602	NA18602	0.260986460432565
NA18603	NA18603	-0.621557485844577
NA18605	NA18605	-0.989663071605412
NA18606	NA18606	-0.371661454092368
NA18608	NA18608	-0.464654480858388
NA18609	NA18609	-0.683560279911442
NA18610	NA18610	-0.555999941808973
NA18611	NA18611	-0.498415939242851
NA18612	NA18612	-0.266174335553097
NA18613	NA18613	-1.39698264323252
NA18614	NA18614	-1.52830519129034
NA18615	NA18615	1.37087222006469
NA18616	NA18616	-2.28200990257265
NA18617	NA18617	0.498415939242851
NA18618	NA18618	-1.30938255534852
NA18619	NA18619	-1.16906160782933
NA18620	NA18620	0.414974023271006
NA18621	NA18621	-1.86295380642097
NA18622	NA18622	0.918569407542923
NA18623	NA18623	0.189022780314672
NA18624	NA18624	-0.526989471947959
NA18625	NA18625	0.492750478593629
NA18626	NA18626	0.398644832449439
NA18627	NA18627	-0.323750497509289
NA18628	NA18628	0.153427741255188
NA18629	NA18629	0.579548856676169
NA18630	NA18630	-1.89215175244672
NA18631	NA18631	0.997873240108834
NA18632	NA18632	0.515509687887008
NA18633	NA18633	0.158499812351248
NA18634	NA18634	0.866334327573349
NA18635	NA18635	-0.260986460432565
NA18636	NA18636	-1.14943947001797
NA18637	NA18637	0.266174335553096
NA18638	NA18638	0.728566516586001
NA18639	NA18639	-1.06614782887166
NA18640	NA18640	0.0175385282081751
NA18641	NA18641	-0.112981808576949
NA18642	NA18642	1.46680618905497
NA18643	NA18643	-1.54461762434662
NA18644	NA18644	-0.664692992831066
NA18645	NA18645	0.464654480858388
NA18646	NA18646	-0.138234648365482
NA18647	NA18647	0.92623697971705
NA18648	NA18648	1.61437192948695
NA18740	NA18740	-0.414974023271006
NA18745	NA18745	0.23514917358235
NA18747	NA18747	0.442439895793747
NA18748	NA18748	-1.78375940486019
NA18749	NA18749	-1.09307056495364
NA18757	NA18757	-0.658456441842811
NA18939	NA18939	1.14943947001797
NA18940	NA18940	-0.573631942511953
NA18941	NA18941	0.0476201278710132
NA18942	NA18942	0.809389996227294
NA18943	NA18943	0.40407587947324
NA18944	NA18944	-0.21972291581858
NA18945	NA18945	-1.0144987457841
NA18946	NA18946	0.722048161570857
NA18947	NA18947	1.03140950462556
NA18948	NA18948	0.323750497509288
NA18949	NA18949	-1.18914450304541
NA18950	NA18950	-0.646059412184805
NA18951	NA18951	-0.888423770654417
NA18952	NA18952	-0.795561663484026
NA18953	NA18953	-0.0878008244152831
NA18956	NA18956	0.0676968128040414
NA18957	NA18957	-0.0526371839636066
NA18959	NA18959	0.138234648365482
NA18960	NA18960	-0.696274608448045
NA18961	NA18961	0.250631596814572
NA18962	NA18962	-0.830427979810651
NA18963	NA18963	-0.0125272055773736
NA18964	NA18964	0.888423770654417
NA18965	NA18965	-0.27136938445815
NA18966	NA18966	-0.515509687887009
NA18967	NA18967	0.633760888358468
NA18968	NA18968	-1.48166000298687
NA18969	NA18969	-0.329035394118348
NA18970	NA18970	-0.350268861826863
NA18971	NA18971	-0.00751619752895317
NA18972	NA18972	-1.33337492903385
NA18973	NA18973	0.754956867726587
NA18974	NA18974	0.702674102271441
NA18975	NA18975	-0.404075879473241
NA18976	NA18976	-1.03997648744504
NA18977	NA18977	-0.597423170913851
NA18978	NA18978	1.09307056495364
NA18979	NA18979	-0.307949263066943
NA18980	NA18980	-0.453519211807352
NA18981	NA18981	-0.077744890729314
NA18982	NA18982	-1.51238958606768
NA18983	NA18983	-2.72159597917921
NA18984	NA18984	-0.360944509454128
NA18985	NA18985	-0.748310548146153
NA18986	NA18986	0.481466606793125
NA18987	NA18987	1.38380950579667
NA18988	NA18988	-0.965423304406417
NA18989	NA18989	-0.768350701052387
NA18990	NA18990	0.21972291581858
NA18991	NA18991	-0.23514917358235
NA18992	NA18992	2.06969666118477
NA18993	NA18993	0.768350701052387
NA18994	NA18994	-1.92305802066591
NA18995	NA18995	1.73659450230301
NA18997	NA18997	0.603423659740113
NA18998	NA18998	-0.603423659740113
NA18999	NA18999	-1.0486204855659
NA19000	NA19000	-1.03140950462556
NA19001	NA19001	-0.781883813372342
NA19002	NA19002	-1.20971881771491
NA19003	NA19003	0.447972680104438
NA19004	NA19004	-1.2976640605536
NA19005	NA19005	-0.0476201278710132
NA19006	NA19006	-1.80891140926996
NA19007	NA19007	-1.61437192948695
NA19009	NA19009	-1.37087222006469
NA19010	NA19010	-2.16373416140223
NA19011	NA19011	1.08400897477239
NA19012	NA19012	-0.0175385282081749
NA19054	NA19054	-1.41040276440206
NA19055	NA19055	-0.339632986602262
NA19056	NA19056	-0.492750478593628
NA19057	NA19057	-2.06969666118477
NA19058	NA19058	1.41040276440206
NA19059	NA19059	1.06614782887166
NA19060	NA19060	1.69300364913976
NA19062	NA19062	-0.183924144277348
NA19063	NA19063	-0.609445954534666
NA19064	NA19064	-1.12080983801804
NA19065	NA19065	1.39698264323252
NA19066	NA19066	1.86295380642097
NA19067	NA19067	0.646059412184805
NA19068	NA19068	2.02879906462285
NA19070	NA19070	-2.35564147162687
NA19072	NA19072	0.387817729006052
NA19074	NA19074	0.989663071605412
NA19075	NA19075	1.2635354871194
NA19076	NA19076	-2.02879906462285
NA19077	NA19077	-1.71439191923213
NA19078	NA19078	1.52830519129034
NA19079	NA19079	-1.2635354871194
NA19080	NA19080	1.13979236919104
NA19081	NA19081	0.123073399156488
NA19082	NA19082	-0.194126334977844
NA19083	NA19083	-0.754956867726587
NA19084	NA19084	-0.118026101382016
NA19085	NA19085	-1.67236294879582
NA19086	NA19086	-0.57954885667617
NA19087	NA19087	-0.677244442095517
NA19088	NA19088	0.128123834221184
NA19089	NA19089	0.178830285100335
NA19090	NA19090	0.609445954534666
NA19091	NA19091	-0.133177539464034
